nombre/0,precio/0,descripcion/0,caracteristicas/0/Marca,caracteristicas/0/Modelo,caracteristicas/0/Año,caracteristicas/0/Color,caracteristicas/0/Tipo de combustible,caracteristicas/0/Kilómetros,caracteristicas/0/Puertas,caracteristicas/0/Transmisión,caracteristicas/0/Motor,caracteristicas/0/Tipo de carrocería
"Chevrolet Tahoe  5 Pts Ltz, Ta, Piel, Qc, Dvd, Gps, 2ª Fila","700,000","En Nissan Imperio Coapa trabajamos para hacer dinamica, facil y segura la experiencia de comprar o vender un auto.Todos los vehiculos pasan por un riguroso proceso de inspeccionFacturamos a particulares y empresas.Evite riesgos, somos agencia.Garantia en autos Nissan de 3 anos o 60,000 kilometros a partir de 2016 en a delante Garantia de autos multimarca por 90 dias en motor y transmision. De Contamos con atractivos planes de financiamientoMas de 10 anos de experiencia dando seguridad y confianza.CONOCE NUESTRO AMPLIO INVENTARIO COMO GRUPO IMPERIOA G E N D A T U C I T A HOY M I S M O",Chevrolet,Tahoe,2016,Blanco,Gasolina,87392 km,,,,
Audi A3 2017 2.0 Dynamic 3p At,"395,000","Este vehículo es certificado-Transmisión automatica-Llave presencial-Financiamiento-Auto Start/Stop-Paletas de cambio al volante-Luces automáticas-Conexión Bluetooth-Sensores de estacionamiento-Volante forrado en piel-Controles al volante-Control crucero-Pantalla de 9 pulgadas retráctil-Luces Full LED-Apertura remota-Auto Hold-Freno de mano electrónico-3 Salidas de cargaSomos una agencia automotriz con más de 30 años de experiencia establecida en Guadalajara, México. Nos dedicamos a la venta de vehículos seminuevos de distintas marcas, ofreciendo hasta 3 años de garantía, siendo la única agencia con Alianza por medio de Scotiabank.ID interno: 24b7a",Audi,A3,2017,Blanco,Gasolina,45882 km,3,Automática,2.0,Hatchback
Nissan Sentra  4 Pts Sense Ta A/ac Ra-16,"250,000","En Nissan Imperio Coapa trabajamos para hacer dinamica, facil y segura la experiencia de comprar o vender un auto.Todos los vehiculos pasan por un riguroso proceso de inspeccionFacturamos a particulares y empresas.Evite riesgos, somos agencia.Garantia en autos Nissan de 3 anos o 60,000 kilometros a partir de 2016 en a delante Garantia de autos multimarca por 90 dias en motor y transmision. De Contamos con atractivos planes de financiamientoMas de 10 anos de experiencia dando seguridad y confianza.CONOCE NUESTRO AMPLIO INVENTARIO COMO GRUPO IMPERIOA G E N D A T U C I T A HOY M I S M O",Nissan,Sentra,2017,Azul marino,Gasolina,49661 km,,,,
Bmw Serie 3 2018 1.5 318i Sport Line,"478,000","Este vehículo es certificadoTransmision automatica Sensores de reversa Motor 3 cilindros Llave presencial Selector de manejo Aire acondicionado de doble zona Interiores en piel Detalles en rojo en el l tablero Auto Start/Stop Controles al volante Control crucero Luces automáticasConexión BluetoothFaros de niebla Somos una agencia automotriz con más de 30 años de experiencia establecida en Guadalajara, México. Nos dedicamos a la venta de vehículos seminuevos de distintas marcas, ofreciendo hasta 3 años de garantía, siendo la única agencia con Alianza por medio de Scotiabank. IM-4708b",BMW,Serie 3,2018,Negro,Gasolina,71250 km,4,Automática,1.5,Sedán
"Nissan Versa Sedan 4 Pts Advance, At, A/ac, Ve, F Niebla, R","215,000",NISSAN IMPERIO SUR SEMINUEVOS,Nissan,Versa,2017,Azul marino,Gasolina,80998 km,,,,
Nissan Sentra 4 PTS ADVANCE CVT A/AC F NIEBLA RA-16,"380,000","En Nissan Imperio Coapa trabajamos para hacer dinamica, facil y segura la experiencia de comprar o vender un auto.Todos los vehiculos pasan por un riguroso proceso de inspeccionFacturamos a particulares y empresas.Evite riesgos, somos agencia.Garantia en autos Nissan de 3 anos o 60,000 kilometros a partir de 2016 en a delante Garantia de autos multimarca por 90 dias en motor y transmision. De Contamos con atractivos planes de financiamientoMas de 10 anos de experiencia dando seguridad y confianza.CONOCE NUESTRO AMPLIO INVENTARIO COMO GRUPO IMPERIOA G E N D A  T U  C I T A  HOY  M I S M O WhatsApp 55 6889 7927 - 5580459225Correo seminuevoscoapa.iac@grupoautofin.com",Nissan,Sentra,2020,Blanco Perlado,Gasolina,21776 km,,,,
Nissan Sentra  4 Pts Advance Cvt A/ac F Niebla Ra-16,"199,000",NISSAN IMPERIO SUR SEMINUEVOS,Nissan,Sentra,2015,Blanco Perlado,Gasolina,110944 km,,,,
Chevrolet Onix  4 Pts Lt 10t Ta A/ac Aut Ba Ve Ra-15,"320,000",NISSAN IMPERIO SUR SEMINUEVOS,Chevrolet,Onix,2021,Gris,Gasolina,23231 km,,,,
"Nissan Sentra  4 Pts Advance, At, A/ac, F Niebla, Ra-16","310,000","En Nissan Imperio Coapa trabajamos para hacer dinamica, facil y segura la experiencia de comprar o vender un auto.Todos los vehiculos pasan por un riguroso proceso de inspeccionFacturamos a particulares y empresas.Evite riesgos, somos agencia.Garantia en autos Nissan de 3 anos o 60,000 kilometros a partir de 2016 en a delante Garantia de autos multimarca por 90 dias en motor y transmision. De Contamos con atractivos planes de financiamientoMas de 10 anos de experiencia dando seguridad y confianza.CONOCE NUESTRO AMPLIO INVENTARIO COMO GRUPO IMPERIOA G E N D A T U C I T A HOY M I S M O",Nissan,Sentra,2019,Rojo,Gasolina,30545 km,,,,
"Nissan Sentra  4 Pts Sense, At, A/ac, Ra-16","265,000","En Nissan Imperio Coapa trabajamos para hacer dinamica, facil y segura la experiencia de comprar o vender un auto.Todos los vehiculos pasan por un riguroso proceso de inspeccionFacturamos a particulares y empresas.Evite riesgos, somos agencia.Garantia en autos Nissan de 3 anos o 60,000 kilometros a partir de 2016 en a delante Garantia de autos multimarca por 90 dias en motor y transmision. De Contamos con atractivos planes de financiamientoMas de 10 anos de experiencia dando seguridad y confianza.CONOCE NUESTRO AMPLIO INVENTARIO COMO GRUPO IMPERIOA G E N D A T U C I T A HOY M I S M O",Nissan,Sentra,2018,Gris,Gasolina,25706 km,,,,
